figure,panel,fc_feature,sc_feature,pearson_r,p_value,p_fdr_bh,fdr_bh_significant,n_regions
figure_sc_fc_final_overview,A,FCS,Clustering,0.5059221224489677,0.000392006046908304,0.0032604866834556965,True,45
figure_sc_fc_final_overview,A,FCS,Modularity Q,-0.2806025439391673,0.06189104694402365,0.1326236720229078,False,45
figure_sc_fc_final_overview,A,FCS,Global Efficiency,0.22066111048542453,0.1452243307470401,0.22930157486374755,False,45
figure_sc_fc_final_overview,A,FCS,Post-DCA,-0.5102542952486837,0.0003425148714819275,0.0032604866834556965,True,45
figure_sc_fc_final_overview,A,FCS,Pre-DCA,0.4322338736514596,0.003025830307199565,0.012967844173712422,True,45
figure_sc_fc_final_overview,A,FCS,log10 (Out/In-deg),-0.2155513798380176,0.15501115012993114,0.23251672519489672,False,45
figure_sc_fc_final_overview,A,FCV,Clustering,-0.49519439792476017,0.0005434144472426161,0.0032604866834556965,True,45
figure_sc_fc_final_overview,A,FCV,Modularity Q,0.25579911341478906,0.08988362267757795,0.15861815766631404,False,45
figure_sc_fc_final_overview,A,FCV,Global Efficiency,-0.19134859139730684,0.20797345056329272,0.2971049293761325,False,45
figure_sc_fc_final_overview,A,FCV,Post-DCA,0.6178909299140133,6.119773374721078e-06,0.00018359320124163234,True,45
figure_sc_fc_final_overview,A,FCV,Pre-DCA,-0.2830581646488973,0.059549498944152526,0.1326236720229078,False,45
figure_sc_fc_final_overview,A,FCV,log10 (Out/In-deg),0.38948022966885654,0.008180658928382505,0.02726886309460835,True,45
figure_sc_fc_final_overview,A,Metastability,Clustering,-0.31702933200021616,0.03384380771365444,0.08460951928413608,False,45
figure_sc_fc_final_overview,A,Metastability,Modularity Q,0.11423932292905184,0.4549264794851832,0.5933823645458911,False,45
figure_sc_fc_final_overview,A,Metastability,Global Efficiency,-0.1092489820096902,0.4749896852157792,0.593737106519724,False,45
figure_sc_fc_final_overview,A,Metastability,Post-DCA,0.3524763694003043,0.017562327498537412,0.04789725681419294,True,45
figure_sc_fc_final_overview,A,Metastability,Pre-DCA,-0.26332333469951597,0.08051413407896581,0.1509640013980609,False,45
figure_sc_fc_final_overview,A,Metastability,log10 (Out/In-deg),0.043658793616195554,0.7758231182019211,0.7758231182019211,False,45
figure_sc_fc_final_overview,A,Net TE,Clustering,-0.08281302879378069,0.5886285564689189,0.7063542677627026,False,45
figure_sc_fc_final_overview,A,Net TE,Modularity Q,-0.07222558592317872,0.6372933385996757,0.7089823130641442,False,45
figure_sc_fc_final_overview,A,Net TE,Global Efficiency,0.0654259386163216,0.6693807074306898,0.7171936151043105,False,45
figure_sc_fc_final_overview,A,Net TE,Post-DCA,0.36040892185844453,0.01501502387446162,0.045045071623384864,True,45
figure_sc_fc_final_overview,A,Net TE,Pre-DCA,0.04874328773976564,0.7505094247874021,0.7758231182019211,False,45
figure_sc_fc_final_overview,A,Net TE,log10 (Out/In-deg),0.1609670624401445,0.29082134475337373,0.39657456102732785,False,45
figure_sc_fc_final_overview,A,Neighbor TE,Clustering,-0.4977139729474641,0.0005037729688194537,0.0032604866834556965,True,45
figure_sc_fc_final_overview,A,Neighbor TE,Modularity Q,0.42487729588711176,0.003623644067473761,0.013588665253026605,True,45
figure_sc_fc_final_overview,A,Neighbor TE,Global Efficiency,-0.2653505846686308,0.07812539074297417,0.1509640013980609,False,45
figure_sc_fc_final_overview,A,Neighbor TE,Post-DCA,0.45004664964441393,0.0019229619165019602,0.009614809582509801,True,45
figure_sc_fc_final_overview,A,Neighbor TE,Pre-DCA,-0.07205640897573856,0.6380840817577298,0.7089823130641442,False,45
figure_sc_fc_final_overview,A,Neighbor TE,log10 (Out/In-deg),0.24881132770059575,0.09932338519747795,0.16553897532912992,False,45
